@relation 'Stu Activity-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Student_ID numeric
@attribute College_ID {CLG0030,CLG0061,CLG0036,CLG0055,CLG0004,CLG0015,CLG0071,CLG0096,CLG0097,CLG0057,CLG0063,CLG0077,CLG0064,CLG0017,CLG0053,CLG0040,CLG0070,CLG0050,CLG0068,CLG0072,CLG0034,CLG0087,CLG0073,CLG0024,CLG0008,CLG0025,CLG0018,CLG0014,CLG0006,CLG0082,CLG0090,CLG0075,CLG0094,CLG0089,CLG0016,CLG0076,CLG0047,CLG0054,CLG0058,CLG0100,CLG0046,CLG0001,CLG0041,CLG0093,CLG0027,CLG0062,CLG0081,CLG0028,CLG0020,CLG0051,CLG0069,CLG0088,CLG0038,CLG0029,CLG0035,CLG0019,CLG0005,CLG0026,CLG0066,CLG0045,CLG0043,CLG0074,CLG0048,CLG0012,CLG0099,CLG0011,CLG0091,CLG0083,CLG0080,CLG0044,CLG0059,CLG0031,CLG0039,CLG0065,CLG0079,CLG0095,CLG0085,CLG0033,CLG0007,CLG0037,CLG0032,CLG0049,CLG0056,CLG0084,CLG0067,CLG0098,CLG0042,CLG0021,CLG0009,CLG0010,CLG0078,CLG0013,CLG0003,CLG0092,CLG0086,CLG0023,CLG0022,CLG0060,CLG0002}
@attribute IQ numeric
@attribute Prev_Sem_Result numeric
@attribute CGPA numeric
@attribute Academic_Performance numeric
@attribute Internship_Experience {No,Yes}
@attribute Extra_Curricular_Score numeric
@attribute Communication_Skills numeric
@attribute Projects_Completed numeric
@attribute Placement {No,Yes}

@data
0,CLG0030,0.528302,0.321285,0.292388,0.777778,No,0.8,0.777778,0.8,No
0.001001,CLG0061,0.433962,0.10241,0.134948,0.777778,No,0.7,0.777778,0,No
0.002002,CLG0036,0.54717,0.070281,0.214533,0.888889,No,0.3,0,0.2,No
0.003003,CLG0055,0.669811,0.092369,0.200692,0.555556,Yes,0.1,0.555556,0.2,No
0.004004,CLG0004,0.424528,0.582329,0.536332,0.666667,No,0.8,1,0.4,No
0.005005,CLG0015,0.424528,0.050201,0.126298,0.666667,No,?,0.777778,0,No
0.006006,CLG0071,0.679245,0.335341,0.344291,0.444444,No,0.7,0.777778,0.4,Yes
0.007007,CLG0096,0.566038,0.75502,0.721453,0.666667,No,0.3,0,0.4,Yes
0.008008,CLG0097,0.386792,0.293173,0.301038,0.888889,No,0.7,?,1,No
0.009009,CLG0057,0.537736,0.76506,0.693772,0.333333,No,0.5,0.888889,0.2,No
0.01001,CLG0063,0.396226,0.746988,0.745675,0.111111,Yes,?,0.555556,0,No
0.011011,CLG0077,0.396226,0.24498,0.33218,0.777778,No,0.5,0.666667,0.8,No
0.012012,CLG0064,0.490566,0.728916,0.764706,0.666667,Yes,0.8,0.555556,0.2,No
0.013013,CLG0017,0.188679,0.748996,0.65917,0.555556,No,0,0.444444,0.4,No
0.014014,CLG0053,0.216981,0.39759,0.470588,0.666667,No,0,0,0.4,No
0.015015,CLG0040,0.377358,0.208835,0.209343,0.222222,No,0.4,0.111111,0.6,No
0.016016,CLG0070,0.311321,0.522088,0.510381,0.555556,No,0,1,0,No
0.017017,CLG0050,0.5,0.923695,0.937716,1,Yes,0.9,0.111111,0.8,No
0.018018,CLG0068,0.330189,0.640562,0.615917,0.666667,No,0.8,0.888889,0.8,Yes
0.019019,CLG0015,0.254717,0.170683,0.16782,0.666667,Yes,0.3,0.555556,0.4,No
0.02002,CLG0072,0.660377,0.682731,0.602076,0.444444,Yes,0.1,0.222222,0.6,Yes
0.021021,CLG0034,0.424528,0.427711,0.435986,0.222222,Yes,0.2,0.222222,0.6,No
0.022022,CLG0030,0.471698,0.592369,0.628028,0.111111,Yes,0.8,1,0,No
0.023023,CLG0087,0.254717,0.73494,0.792388,0.666667,Yes,1,1,0.4,Yes
0.024024,CLG0073,0.377358,0.514056,0.565744,0.333333,Yes,0.7,0.111111,0.4,No
0.025025,CLG0024,0.471698,0.815261,0.84083,0.111111,No,0.2,0.666667,0.4,?
0.026026,CLG0008,0.292453,0.722892,0.738754,0.777778,No,0.7,0,0,No
0.027027,CLG0057,0.509434,0.616466,0.67301,0.111111,No,0.3,0,0.8,No
0.028028,CLG0070,0.367925,0.148594,0.128028,0.555556,Yes,0.5,1,0.2,No
0.029029,CLG0025,0.415094,0.837349,0.868512,0.333333,Yes,0.3,0.222222,0.6,No
0.03003,CLG0077,0.367925,0.937751,0.863322,0.888889,Yes,1,0,0.8,No
0.031031,CLG0034,0.716981,0.134538,0.261246,0.444444,No,0.4,0.222222,?,No
0.032032,CLG0025,0.45283,0.487952,0.420415,0.333333,No,0.9,0.888889,0.8,No
0.033033,CLG0018,0.311321,0.257028,0.33218,0.777778,No,0.8,0.666667,0.8,No
0.034034,CLG0073,0.575472,0.75502,0.764706,0.222222,Yes,0.1,0.888889,0.8,Yes
0.035035,CLG0097,0.283019,0.722892,0.782007,0.888889,Yes,0.8,0.666667,0.8,No
0.036036,CLG0070,0.490566,0.138554,0.238754,0.777778,Yes,0.2,0.888889,0.4,No
0.037037,CLG0014,0.179245,0.879518,0.809689,0.777778,No,0.4,0.222222,0.8,No
0.038038,CLG0006,0.273585,0.178715,0.237024,1,Yes,0.6,0.666667,0.2,No
0.039039,CLG0082,0.481132,0.799197,0.738754,0.444444,No,0.1,0.555556,0.2,No
0.04004,CLG0090,0.566038,0.455823,0.413495,0,No,0.3,0.111111,0.6,No
0.041041,CLG0036,0.481132,0.327309,0.311419,1,No,0,0.555556,1,No
0.042042,CLG0036,0.443396,0.156627,0.15917,0.888889,No,1,0.222222,0,No
0.043043,CLG0075,0.415094,0.166667,0.224913,0.111111,Yes,0.2,0.111111,0.2,No
0.044044,CLG0018,0.245283,0.662651,0.714533,0,Yes,0.5,0.444444,0.2,No
0.045045,CLG0015,0.358491,0.550201,0.617647,0.555556,Yes,0.1,0.444444,0.2,No
0.046046,CLG0094,0.396226,0.120482,0.098616,0,Yes,0.7,0.111111,0.2,No
0.047047,CLG0089,0.603774,0.110442,0.095156,1,Yes,0.6,0.222222,0,No
0.048048,CLG0016,0.509434,0.070281,0.089965,1,No,0.2,0.777778,0,No
0.049049,CLG0076,0.207547,0.74498,0.67301,1,Yes,0,?,1,No
0.05005,CLG0014,0.5,0.712851,0.615917,0.666667,No,0.9,0.777778,0.8,Yes
0.051051,CLG0047,0.40566,0.056225,0.102076,0.666667,Yes,0.3,1,1,No
0.052052,CLG0054,0.358491,0.560241,0.570934,0,Yes,0.3,0.333333,0.2,No
0.053053,CLG0058,0.54717,0.082329,0.157439,1,No,1,0.333333,0.2,No
0.054054,CLG0077,0.603774,0.905622,0.859862,0.444444,No,0.4,0.555556,0.6,Yes
0.055055,CLG0030,?,0.909639,0.82872,0.222222,No,0.2,1,0.6,Yes
0.056056,CLG0100,0.339623,0.698795,0.711073,0.111111,No,1,0.444444,0.6,No
0.057057,CLG0046,0.415094,0.927711,0.929066,0.444444,No,0.1,0.444444,0.6,No
0.058058,CLG0016,0.5,0.813253,0.747405,0.444444,No,0.1,0.888889,0.8,Yes
0.059059,CLG0001,0.59434,0.829317,0.716263,0.111111,Yes,0.7,0.555556,0.4,Yes
0.06006,CLG0041,0.386792,0.570281,0.529412,0.555556,No,0.6,0.222222,0.6,No
0.061061,CLG0093,0.433962,0.305221,0.273356,0.666667,No,0,0.333333,0.6,No
0.062062,CLG0027,0.301887,0.216867,0.254325,0,No,0.8,0.888889,0,No
0.063063,CLG0077,0.292453,0.327309,0.295848,0.222222,No,0.2,0.555556,1,No
0.064064,CLG0062,0.575472,0.628514,0.607266,0.333333,No,0.2,0.777778,0.2,Yes
0.065065,CLG0081,0.650943,0.170683,0.17128,0.111111,No,0,0.666667,0.8,No
0.066066,CLG0028,0.443396,0.257028,0.33564,1,Yes,1,0,0.2,No
0.067067,CLG0020,0.603774,0.467871,0.394464,0.444444,Yes,0.3,0,0.4,No
0.068068,CLG0055,0.509434,0.232932,0.282007,0.333333,No,0.9,1,0.8,No
0.069069,CLG0051,0.367925,0.588353,0.522491,0.111111,No,1,0.666667,0.4,No
0.07007,CLG0069,0.509434,0.925703,0.783737,0,Yes,0.1,0.111111,0.2,No
0.071071,CLG0088,0.679245,0.748996,0.782007,0.777778,No,0.2,0.888889,0,Yes
0.072072,CLG0073,0.45283,0.666667,0.676471,0.111111,No,1,1,0.6,Yes
0.073073,CLG0097,0.679245,0.582329,0.50519,0.333333,No,0,0.888889,0.2,No
0.074074,CLG0034,0.084906,0.487952,0.520761,1,Yes,0.2,0.111111,0.8,No
0.075075,CLG0027,0.575472,0.184739,0.250865,0.444444,No,0.3,0.888889,0.6,Yes
0.076076,CLG0097,0.471698,0.895582,0.8391,0.111111,No,0.5,0.888889,0.8,Yes
0.077077,CLG0038,0.415094,0.246988,0.271626,1,No,0.2,1,0.4,No
0.078078,CLG0029,0.471698,0.090361,0.217993,0.888889,Yes,1,0.555556,0.8,No
0.079079,CLG0035,0.179245,0.751004,0.676471,0.111111,No,0.5,0.444444,0,No
0.08008,CLG0020,0.424528,0.174699,0.205882,0.555556,No,0.1,1,0.4,No
0.081081,CLG0019,0.509434,0.371486,0.363322,0.666667,No,1,0.111111,1,No
0.082082,CLG0005,0.669811,0.026104,0.141869,0.555556,No,0.7,0.555556,1,No
0.083083,CLG0025,0.386792,0.136546,0.262976,0.333333,No,0.4,0.888889,0.2,No
0.084084,CLG0093,0.339623,0.172691,0.282007,0,No,0,0.222222,0.6,No
0.085085,CLG0026,0.386792,0.052209,0.16955,0.111111,No,0.5,0.222222,0.6,No
0.086086,CLG0051,0.584906,0.656627,0.723183,1,No,0.2,0.333333,0,No
0.087087,CLG0066,0.5,0.839357,0.83045,1,Yes,0.3,1,0.8,Yes
0.088088,CLG0061,0.386792,0.373494,0.437716,0.555556,No,0.9,0.333333,0.2,No
0.089089,CLG0015,0.528302,0.875502,0.910035,0.777778,Yes,0.7,0,1,No
0.09009,CLG0045,0.471698,0.212851,0.17128,0.222222,Yes,0.7,0.111111,0.8,No
0.091091,CLG0006,0.59434,0.325301,0.375433,0.666667,No,1,0.555556,1,No
0.092092,CLG0058,0.358491,0.148594,0.242215,0.888889,No,0.7,0.444444,0.8,No
0.093093,CLG0001,0.415094,0.620482,0.679931,0.333333,Yes,0.4,1,0,No
0.094094,CLG0073,0.40566,0.419679,0.5,0.666667,No,0,0.333333,1,?
0.095095,CLG0043,0.254717,0.614458,0.6609,0.666667,No,0.8,1,0.4,Yes
0.096096,CLG0016,0.5,0.763052,0.807958,1,No,1,0.888889,1,Yes
0.097097,CLG0014,0.490566,0.546185,0.550173,0.888889,Yes,0.8,0.111111,0.4,No
0.098098,CLG0074,0.462264,0.628514,0.529412,0.222222,No,0.7,0.777778,0,No
0.099099,CLG0019,0.424528,0.937751,0.795848,0,Yes,1,0.333333,0,No
0.1001,CLG0051,0.254717,0.299197,0.33737,0.777778,Yes,0.2,0.888889,0,No
0.101101,CLG0008,0.396226,0.359438,0.371972,0.333333,No,0.5,0.333333,0.8,No
0.102102,CLG0048,0.40566,0.718876,0.683391,0.111111,No,0.6,0.111111,1,No
0.103103,CLG0012,0.339623,0.61245,0.583045,0.444444,No,0.3,0.555556,1,No
0.104104,CLG0070,0.433962,0.176707,0.297578,0.333333,No,0.9,0.888889,0.8,No
0.105105,CLG0035,0.518868,?,0.371972,0,Yes,0.6,0.666667,0.2,No
0.106106,CLG0070,0.726415,0.467871,0.538062,0.666667,No,0.8,0,0,No
0.107107,CLG0006,0.481132,0.419679,0.50346,0.333333,No,0.5,0.888889,0.8,No
0.108108,CLG0099,?,0.176707,0.224913,0.777778,Yes,0.1,0.555556,0.4,No
0.109109,CLG0011,0.443396,0.925703,0.861592,0.888889,No,0.5,0.888889,1,Yes
0.11011,CLG0038,0.188679,0.763052,0.775087,0.777778,Yes,0.2,0.111111,1,No
0.111111,CLG0091,0.45283,0.481928,0.524221,0,No,0.6,0.666667,0,No
0.112112,CLG0026,0.462264,0.680723,0.629758,0.777778,Yes,0.2,0.777778,0.4,Yes
0.113113,CLG0028,0.801887,0.899598,0.778547,0.444444,No,0.7,0.777778,0.6,Yes
0.114114,CLG0072,0.433962,0.134538,0.147059,0,Yes,1,0.444444,0.2,No
0.115115,CLG0089,0.5,0.248996,0.223183,0.888889,Yes,1,0.666667,0.6,No
0.116116,CLG0083,0.45283,0.542169,0.50346,0.888889,No,0.4,0.666667,0.2,No
0.117117,CLG0080,0.292453,0.801205,0.721453,0.666667,No,0.2,0.222222,0,No
0.118118,CLG0050,0.622642,0.034137,0.126298,0.666667,No,0,0.111111,1,No
0.119119,CLG0058,0.566038,0.985944,1,0,?,0.4,0.444444,0.2,No
0.12012,CLG0026,0.566038,?,0.49654,0.888889,No,0.9,0.333333,0.8,No
0.121121,CLG0044,0.330189,0.359438,0.456747,0,Yes,0.9,0.777778,0.4,No
0.122122,CLG0015,0.660377,0.291165,0.371972,0.666667,No,1,0.444444,1,No
0.123123,CLG0076,0.254717,0.172691,0.261246,0.888889,No,0.2,0.888889,0.8,No
0.124124,CLG0024,0.537736,0.793173,0.740484,0.888889,No,0.3,0.666667,0,No
0.125125,CLG0077,0.764151,0.957831,0.866782,0.444444,No,0.9,0,0.6,Yes
0.126126,CLG0059,0.320755,0.413655,0.489619,0.555556,No,0.3,0.111111,0.4,No
0.127127,CLG0057,0.377358,0.953815,0.965398,0.111111,No,0.2,0.777778,0,No
0.128128,CLG0017,0.471698,0.825301,0.775087,0.111111,No,0.5,1,0.8,Yes
0.129129,CLG0077,0.386792,0.481928,0.403114,1,No,0.5,0.777778,0.8,No
0.13013,CLG0081,0.235849,0.674699,0.704152,0.888889,No,0,0.111111,0.2,No
0.131131,CLG0001,0.471698,0.433735,0.410035,0,No,0.3,0.666667,0.2,No
0.132132,CLG0011,0.311321,0.558233,0.468858,1,Yes,0,0.777778,0.6,No
0.133133,CLG0020,0.528302,0.056225,0.17301,0.444444,Yes,0.6,0.333333,0.2,No
0.134134,CLG0031,0.330189,0.696787,0.676471,0.666667,No,0.6,0.222222,0.2,No
0.135135,CLG0099,0.679245,0.050201,0.148789,1,Yes,0.5,1,0.2,No
0.136136,CLG0039,0.349057,0.819277,0.849481,0.555556,No,1,0.888889,0.6,Yes
0.137137,CLG0063,0.415094,0.825301,0.790657,0.555556,No,0.1,0.111111,0,No
0.138138,CLG0006,0.575472,0.236948,0.276817,0.555556,No,0.3,0.222222,1,No
0.139139,CLG0099,0.283019,0.323293,0.314879,0.777778,No,0.2,0.777778,0.4,No
0.14014,CLG0028,0.490566,0.481928,0.455017,0.666667,Yes,1,0.111111,0,No
0.141141,CLG0051,0.641509,0.596386,?,0.444444,No,0.7,0.444444,1,Yes
0.142142,CLG0053,0.226415,0.287149,0.311419,?,No,0.1,1,1,No
0.143143,CLG0044,0.481132,0.592369,0.524221,0.111111,Yes,0.9,0.777778,0,No
0.144144,CLG0065,0.490566,0.297189,0.257785,1,No,0.1,0.666667,0,No
0.145145,CLG0080,0.566038,0.054217,0.114187,0.555556,Yes,0,0.333333,0.8,No
0.146146,CLG0012,?,0,0.065744,1,No,0.8,1,0.4,No
0.147147,CLG0028,0.273585,0.100402,0.185121,0.444444,No,0.2,0.888889,0.4,No
0.148148,CLG0079,0.528302,0.793173,0.750865,0.333333,Yes,0.7,0.111111,0.8,No
0.149149,CLG0072,0.5,0.963855,0.84083,1,No,0.6,0.666667,1,No
0.15015,CLG0068,0.490566,0.425703,0.441176,0.444444,No,0,0.666667,0.8,No
0.151151,CLG0095,0.509434,0.512048,0.584775,0.888889,No,1,0.666667,1,No
0.152152,CLG0030,0.358491,0.144578,0.138408,0.111111,Yes,0.5,0.666667,0.2,No
0.153153,CLG0035,0.490566,0.552209,0.581315,0.555556,No,0.7,0.444444,0.8,No
0.154154,CLG0006,0.5,0.14257,0.211073,0.888889,No,0.5,0,0.6,No
0.155155,CLG0085,0.358491,0.61245,0.643599,1,No,0.8,0.333333,0.8,No
0.156156,CLG0030,0.716981,0.935743,0.818339,0.444444,Yes,0.9,0.444444,0.2,No
0.157157,CLG0080,0.528302,0.194779,0.316609,0.555556,No,0.2,1,0.8,No
0.158158,CLG0063,0.292453,0.76506,0.752595,1,No,0.5,0.333333,0.6,No
0.159159,CLG0008,0.54717,0.022088,0.152249,0.333333,Yes,0.9,0.666667,0.8,No
0.16016,CLG0091,0.320755,0.375502,0.352941,0.444444,No,0.3,0.111111,1,No
0.161161,CLG0033,0.566038,0.108434,0.207612,0.777778,No,0.9,0.111111,0,No
0.162162,CLG0043,0.622642,0.351406,0.423875,0,Yes,0.2,0.111111,0.4,No
0.163163,CLG0076,0.339623,0.172691,0.204152,0,Yes,0.7,1,0.6,No
0.164164,CLG0043,0.59434,0.373494,0.373702,1,Yes,0.6,0.222222,0.6,No
0.165165,CLG0045,0.518868,0.417671,0.460208,0.333333,Yes,0.6,0.444444,0.6,No
0.166166,CLG0087,0.575472,0.299197,0.259516,1,Yes,0.4,1,1,Yes
0.167167,CLG0054,0.726415,0.656627,0.679931,0.222222,Yes,0,0.888889,0,Yes
0.168168,CLG0065,0.424528,0.919679,0.785467,0.444444,Yes,0.5,0.222222,0,No
