@relation 'Stu Activity-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues'

@attribute Student_ID numeric
@attribute College_ID {CLG0030,CLG0061,CLG0036,CLG0055,CLG0004,CLG0015,CLG0071,CLG0096,CLG0097,CLG0057,CLG0063,CLG0077,CLG0064,CLG0017,CLG0053,CLG0040,CLG0070,CLG0050,CLG0068,CLG0072,CLG0034,CLG0087,CLG0073,CLG0024,CLG0008,CLG0025,CLG0018,CLG0014,CLG0006,CLG0082,CLG0090,CLG0075,CLG0094,CLG0089,CLG0016,CLG0076,CLG0047,CLG0054,CLG0058,CLG0100,CLG0046,CLG0001,CLG0041,CLG0093,CLG0027,CLG0062,CLG0081,CLG0028,CLG0020,CLG0051,CLG0069,CLG0088,CLG0038,CLG0029,CLG0035,CLG0019,CLG0005,CLG0026,CLG0066,CLG0045,CLG0043,CLG0074,CLG0048,CLG0012,CLG0099,CLG0011,CLG0091,CLG0083,CLG0080,CLG0044,CLG0059,CLG0031,CLG0039,CLG0065,CLG0079,CLG0095,CLG0085,CLG0033,CLG0007,CLG0037,CLG0032,CLG0049,CLG0056,CLG0084,CLG0067,CLG0098,CLG0042,CLG0021,CLG0009,CLG0010,CLG0078,CLG0013,CLG0003,CLG0092,CLG0086,CLG0023,CLG0022,CLG0060,CLG0002}
@attribute IQ numeric
@attribute Prev_Sem_Result numeric
@attribute CGPA numeric
@attribute Academic_Performance numeric
@attribute Internship_Experience {No,Yes}
@attribute Extra_Curricular_Score numeric
@attribute Communication_Skills numeric
@attribute Projects_Completed numeric
@attribute Placement {No,Yes}

@data
1,CLG0030,107,6.61,6.28,8,No,8,8,4,No
2,CLG0061,97,5.52,5.37,8,No,7,8,0,No
3,CLG0036,109,5.36,5.83,9,No,3,1,1,No
4,CLG0055,122,5.47,5.75,6,Yes,1,6,1,No
5,CLG0004,96,7.91,7.69,7,No,8,10,2,No
6,CLG0015,96,5.26,5.32,7,No,4.745197,8,0,No
7,CLG0071,123,6.68,6.58,5,No,7,8,2,Yes
8,CLG0096,111,8.77,8.76,7,No,3,1,2,Yes
9,CLG0097,92,6.47,6.33,9,No,7,5.59334,5,No
10,CLG0057,108,8.82,8.6,4,No,5,9,1,No
11,CLG0063,93,8.73,8.9,2,Yes,4.745197,6,0,No
12,CLG0077,93,6.23,6.51,8,No,5,7,4,No
13,CLG0064,103,8.64,9.01,7,Yes,8,6,1,No
14,CLG0017,71,8.74,8.4,6,No,0,5,2,No
15,CLG0053,74,6.99,7.31,7,No,0,1,2,No
16,CLG0040,91,6.05,5.8,3,No,4,2,3,No
17,CLG0070,84,7.61,7.54,6,No,0,10,0,No
18,CLG0050,104,9.61,10.01,10,Yes,9,2,4,No
19,CLG0068,86,8.2,8.15,7,No,8,9,4,Yes
20,CLG0015,78,5.86,5.56,7,Yes,3,6,2,No
21,CLG0072,121,8.41,8.07,5,Yes,1,3,3,Yes
22,CLG0034,96,7.14,7.11,3,Yes,2,3,3,No
23,CLG0030,101,7.96,8.22,2,Yes,8,10,0,No
24,CLG0087,78,8.67,9.17,7,Yes,10,10,2,Yes
25,CLG0073,91,7.57,7.86,4,Yes,7,2,2,No
26,CLG0024,101,9.07,9.45,2,No,2,7,2,?
27,CLG0008,82,8.61,8.86,8,No,7,1,0,No
28,CLG0057,105,8.08,8.48,2,No,3,1,4,No
