@relation 'Stu Performance-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Student_ID numeric
@attribute Hours_Studied numeric
@attribute Attendance numeric
@attribute Parental_Involvement {Low,Medium,High}
@attribute Access_to_Resources {High,Medium,Low}
@attribute Extracurricular_Activities {No,Yes}
@attribute Sleep_Hours numeric
@attribute Previous_Scores numeric
@attribute Motivation_Level {Low,Medium,High}
@attribute Internet_Access {Yes,No}
@attribute Tutoring_Sessions numeric
@attribute Family_Income {Low,Medium,High}
@attribute Teacher_Quality {Medium,High,Low}
@attribute School_Type {Public,Private}
@attribute Peer_Influence {Positive,Negative,Neutral}
@attribute Physical_Activity numeric
@attribute Learning_Disabilities {No,Yes}
@attribute Parental_Education_Level {'High School',College,Postgraduate}
@attribute Distance_from_Home {Near,Moderate,Far}
@attribute Gender {Male,Female}
@attribute Exam_Score numeric
@attribute Academic_Performance numeric

@data
0,0.52381,0.6,Low,High,No,0.5,0.46,Low,Yes,0,Low,Medium,Public,Positive,0.5,No,'High School',Near,Male,0.214286,8
0.001001,0.428571,0.1,Low,Medium,No,0.666667,0.18,Low,Yes,0.333333,Medium,Medium,Public,Negative,0.666667,No,College,Moderate,Female,0.071429,8
0.002002,0.547619,0.95,Medium,Medium,Yes,0.5,0.82,Medium,Yes,0.333333,Medium,Medium,Public,Neutral,0.666667,No,Postgraduate,Near,Male,0.380952,9
0.003003,0.666667,0.725,Low,Medium,Yes,0.666667,0.96,Medium,Yes,0.166667,Medium,Medium,Public,Negative,0.666667,No,'High School',Moderate,Male,0.309524,6
0.004004,0.428571,0.8,Medium,Medium,Yes,0.333333,0.3,Medium,Yes,0.5,Medium,High,Public,Neutral,0.666667,No,College,Near,Female,0.285714,7
0.005005,0.428571,0.7,Medium,Medium,Yes,0.666667,0.78,Medium,Yes,0.5,Medium,Medium,Public,Positive,0.5,No,Postgraduate,Near,Male,0.309524,7
0.006006,0.666667,0.6,Medium,Low,Yes,0.5,0.36,Low,Yes,0.166667,Low,Medium,Private,Neutral,0.333333,No,'High School',Moderate,Male,0.214286,5
0.007007,0.571429,0.45,Low,High,Yes,0.333333,0,Medium,Yes,0.166667,High,High,Public,Negative,0.333333,No,'High School',Far,Male,0.190476,7
0.008008,0.380952,0.85,Medium,High,No,0.333333,0.6,High,Yes,0,Medium,Low,Private,Neutral,0.166667,No,College,Near,Male,0.261905,9
0.009009,0.52381,0.95,Medium,Medium,Yes,0.666667,0.42,Medium,Yes,0,High,High,Public,Positive,0.833333,No,'High School',Moderate,Male,0.333333,4
0.01001,0.380952,0.5,Low,High,No,0.666667,0.76,Medium,No,0.666667,Medium,High,Private,Neutral,0.666667,No,College,Moderate,Male,0.238095,2
0.011011,0.380952,0.925,Medium,High,Yes,0.333333,0.74,Low,Yes,0.333333,Low,High,Private,Neutral,0.333333,No,'High School',Near,Male,0.309524,8
0.012012,0.455896,0.575,Medium,Medium,Yes,0.666667,0.503387,Low,Yes,0.333333,Medium,Medium,Public,Positive,0.666667,No,'High School',Near,Male,0.285714,7
0.013013,0.190476,0.55,Medium,Medium,Yes,0.666667,0.44,Medium,Yes,0.333333,Medium,Medium,Private,Positive,0.5,No,Postgraduate,Near,Male,0.190476,6
0.014014,0.214286,0.45,Medium,Medium,Yes,0.666667,0.48,Medium,Yes,0.166667,Low,Medium,Private,Neutral,0.666667,No,'High School',Near,Male,0.166667,7
0.015015,0.380952,0.2,Medium,Medium,No,0.666667,0.4,Medium,Yes,0.333333,Medium,Medium,Private,Positive,0.666667,No,'High School',Near,Female,0.142857,3
0.016016,0.309524,0,Medium,Low,Yes,1,0.3,Low,Yes,0,High,Medium,Private,Positive,0.5,No,College,Near,Male,0.047619,6
0.017017,0.5,0.25,Low,Medium,Yes,0.333333,0.64,Medium,Yes,0.166667,Low,High,Public,Neutral,0.5,No,'High School',Near,Female,0.166667,10
0.018018,0.333333,0.5,Medium,Medium,Yes,0.833333,0.82,Low,Yes,0.5,Low,Medium,Public,Positive,0.333333,No,College,Moderate,Female,0.214286,7
0.019019,0.261905,0.375,Medium,High,Yes,0.5,0.16,Medium,Yes,0.5,Medium,Medium,Private,Positive,0.666667,No,College,Near,Male,0.190476,7
0.02002,0.666667,0.45,Medium,Medium,No,0.166667,0.98,High,Yes,0,High,Medium,Public,Negative,0.505735,No,'High School',Moderate,Female,0.261905,5
0.021021,0.428571,0.975,Medium,High,No,0.333333,0.68,Medium,Yes,0.166667,Medium,High,Public,Neutral,0.5,No,'High School',Near,Male,0.333333,3
0.022022,0.452381,0.35,Medium,High,No,0.666667,0.78,Low,Yes,0.166667,Medium,Medium,Public,Negative,0.333333,No,College,Moderate,Female,0.190476,2
0.023023,0.238095,0.45,High,Medium,Yes,0.666667,1,High,Yes,0.166667,Low,Medium,Public,Neutral,0.5,No,'High School',Moderate,Male,0.190476,7
0.024024,0.380952,0.125,Low,High,Yes,0.166667,0.5,Medium,Yes,0.333333,Low,Medium,Public,Positive,0.5,No,'High School',Near,Female,0.119048,?
0.025025,0.47619,0.05,High,Low,Yes,0.333333,0.08,High,Yes,0,High,High,Public,Positive,0.5,No,Postgraduate,Far,Male,0.142857,2
0.026026,0.285714,0.775,Low,Medium,No,0.333333,0.8,Medium,Yes,0.166667,High,Medium,Public,Negative,0.333333,Yes,'High School',Moderate,Female,0.166667,8
0.027027,0.5,0.575,High,High,Yes,0.333333,0.88,Medium,Yes,0,High,Medium,Public,Neutral,0.333333,No,College,Moderate,Male,0.309524,2
0.028028,0.357143,0.75,Medium,Medium,No,0,0.16,Medium,Yes,0.166667,Low,Medium,Public,Neutral,0.5,No,'High School',Moderate,Female,0.190476,6
0.029029,0.404762,0.15,High,High,No,0,0.02,Low,Yes,0.333333,Low,Medium,Private,Neutral,0.333333,No,College,Near,Male,0.142857,4
0.03003,0.357143,0.575,Low,Medium,No,0.333333,0.14,Medium,Yes,0,High,Low,Public,Positive,0.666667,Yes,'High School',Near,Female,0.119048,9
0.031031,0.714286,0.25,Medium,High,Yes,0.5,0.32,Medium,Yes,0.166667,High,Medium,Public,Negative,0.5,No,College,Near,Male,0.261905,5
0.032032,0.452381,0.225,Medium,Medium,Yes,0.666667,0.92,Medium,Yes,0.333333,Medium,High,Public,Positive,0.5,No,'High School',Near,Male,0.214286,4
0.033033,0.309524,0,High,Medium,No,0.166667,0,Medium,Yes,0.333333,Medium,Medium,Public,Neutral,0.5,No,College,Near,Female,0.071429,8
0.034034,0.571429,0.125,High,Medium,No,0.166667,0.8,Medium,Yes,0.333333,Medium,Medium,Public,Positive,0.5,No,College,Moderate,Female,0.238095,3
0.035035,0.285714,0.3,Low,Medium,No,0.333333,0.86,Low,Yes,0.166667,Low,Medium,Public,Negative,0.5,No,'High School',Near,Male,0.071429,9
0.036036,0.47619,0.125,Medium,Low,Yes,0.5,0.82,Low,Yes,0.333333,Medium,High,Public,Positive,0.5,No,'High School',Far,Female,0.142857,8
0.037037,0.166667,0.975,Medium,Medium,No,0.833333,0.08,Low,Yes,0.333333,Low,Medium,Public,Neutral,0.833333,No,Postgraduate,Near,Female,0.214286,8
0.038038,0.261905,0.3,Low,Medium,Yes,0.666667,0.68,Medium,Yes,0.166667,Low,Medium,Public,Positive,0.833333,No,'High School',Near,Female,0.119048,10
0.039039,0.47619,0.125,Low,Medium,Yes,0.333333,0.96,Low,Yes,0.166667,Medium,High,Public,Negative,0.666667,No,'High School',Near,Male,0.142857,5
0.04004,0.547619,0.2,High,Medium,No,0.666667,0.12,Low,Yes,0.5,High,High,Public,Neutral,0.166667,No,College,Near,Male,0.214286,1
0.041041,0.47619,0.6,Medium,Medium,Yes,0.333333,0.503387,Low,Yes,0.166667,Medium,High,Public,Neutral,0.333333,Yes,College,Far,Female,0.166667,10
0.042042,0.428571,0.075,Low,High,No,0.5,0.88,Medium,Yes,0.166667,Medium,Medium,Private,Positive,0.5,No,'High School',Moderate,Male,0.142857,9
0.043043,0.404762,0.85,Medium,Medium,Yes,0.5,0.64,Medium,Yes,0.5,Medium,Medium,Private,Negative,0.333333,Yes,College,Near,Male,0.285714,2
0.044044,0.238095,0.95,Medium,Medium,Yes,0.833333,0.64,Low,Yes,0.166667,Medium,Medium,Private,Positive,0.5,No,Postgraduate,Far,Male,0.238095,1
0.045045,0.357143,0.25,Medium,Medium,Yes,0.666667,0.96,Medium,Yes,0.333333,Medium,Medium,Public,Positive,0.5,No,'High School',Moderate,Male,0.166667,6
0.046046,0.380952,0.45,Medium,Medium,Yes,0.333333,0.76,Medium,Yes,0.166667,Medium,High,Private,Positive,0.5,No,College,Near,Female,0.238095,1
0.047047,0.595238,0.025,Medium,Low,Yes,0.333333,0.4,Medium,Yes,0.333333,Low,Medium,Public,Positive,0.5,No,'High School',Moderate,Female,0.142857,10
0.048048,0.5,0.65,Low,Medium,Yes,0.5,0.44,Low,Yes,0.5,Low,High,Public,Positive,0.333333,No,'High School',Moderate,Male,0.238095,10
0.049049,0.190476,0.425,Medium,Medium,No,0.166667,0.14,Medium,Yes,0.333333,Medium,High,Public,Neutral,0.5,No,'High School',Near,Male,0.119048,10
0.05005,0.5,0.275,Low,Medium,Yes,0.5,0.3,Low,Yes,0.166667,Medium,Low,Public,Positive,0.666667,No,College,Moderate,Male,0.142857,7
0.051051,0.404762,0.2,High,Medium,No,0.5,0.44,Medium,Yes,0,Medium,Medium,Public,Neutral,0.5,No,College,Near,Male,0.142857,7
0.052052,0.357143,0.495779,Low,Medium,Yes,0.666667,0.26,Medium,Yes,0.333333,Medium,Medium,Public,Positive,0.666667,No,'High School',Near,Male,0.214286,1
0.053053,0.547619,0.425,High,Low,No,0.666667,0.92,Medium,Yes,0,Medium,Medium,Public,Neutral,0.5,No,'High School',Near,Female,0.214286,10
0.054054,0.595238,0.175,Medium,High,Yes,0.5,0.02,Low,Yes,0.333333,High,High,Private,Neutral,0.666667,Yes,Postgraduate,Far,Female,0.190476,5
0.055055,0.595238,0.7,Medium,High,Yes,0.166667,0.503387,Medium,Yes,0.166667,Low,High,Private,Positive,0.666667,No,College,Moderate,Male,0.333333,3
0.056056,0.333333,0.575,Medium,High,No,0.166667,0.78,Low,No,0.166667,Medium,High,Public,Neutral,0.333333,Yes,'High School',Near,Female,0.220989,2
0.057057,0.404762,0.85,Medium,Medium,Yes,0.333333,0.74,High,Yes,0.166667,Medium,Medium,Public,Positive,0.666667,No,'High School',Near,Male,0.309524,5
